	x	exp(x)		exp'(x)		exp'(x)		exp''(x)	exp''(x)

				anal. forma	dife. forma	anal. forma	dife. forma

       0.10       1.10	         1.10	           1.10	          1.10	           0.00
       0.10       1.10	         1.10	           1.10	          1.10	           0.00
       0.10       1.10	         1.10	           1.10	          1.10	           0.00
       0.10       1.10	         1.10	           1.10	          1.10	           0.00
       0.10       1.10	         1.10	           1.10	          1.10	           0.00
       0.10       1.11	         1.11	           1.10	          1.11	           0.00
       0.10       1.11	         1.11	           1.11	          1.11	           0.00
       0.10       1.11	         1.11	           1.11	          1.11	           0.00
       0.10       1.11	         1.11	           1.11	          1.11	           0.00
       0.10       1.11	         1.11	           1.11	          1.11	           0.00
       0.11       1.11	         1.11	           1.11	          1.11	           0.00
       0.11       1.11	         1.11	           1.11	          1.11	           0.00
       0.11       1.11	         1.11	           1.11	          1.11	           0.00
       0.11       1.11	         1.11	           1.11	          1.11	           0.00
       0.11       1.12	         1.12	           1.11	          1.12	           0.00
       0.11       1.12	         1.12	           1.12	          1.12	           0.00
       0.11       1.12	         1.12	           1.12	          1.12	           0.00
       0.11       1.12	         1.12	           1.12	          1.12	           0.00
       0.11       1.12	         1.12	           1.12	          1.12	           0.00
       0.11       1.12	         1.12	           1.12	          1.12	           0.00
       0.12       1.12	         1.12	           1.12	          1.12	           0.00
       0.12       1.12	         1.12	           1.12	          1.12	           0.00
       0.12       1.12	         1.12	           1.12	          1.12	           0.00
       0.12       1.13	         1.13	           1.12	          1.13	           0.00
       0.12       1.13	         1.13	           1.13	          1.13	           0.00
       0.12       1.13	         1.13	           1.13	          1.13	           0.00
       0.12       1.13	         1.13	           1.13	          1.13	           0.00
       0.12       1.13	         1.13	           1.13	          1.13	           0.00
       0.12       1.13	         1.13	           1.13	          1.13	           0.00
       0.12       1.13	         1.13	           1.13	          1.13	           0.00
       0.13       1.13	         1.13	           1.13	          1.13	           0.00
       0.13       1.13	         1.13	           1.13	          1.13	           0.00
       0.13       1.14	         1.14	           1.13	          1.14	           0.00
       0.13       1.14	         1.14	           1.14	          1.14	           0.00
       0.13       1.14	         1.14	           1.14	          1.14	           0.00
       0.13       1.14	         1.14	           1.14	          1.14	           0.00
       0.13       1.14	         1.14	           1.14	          1.14	           0.00
       0.13       1.14	         1.14	           1.14	          1.14	           0.00
       0.13       1.14	         1.14	           1.14	          1.14	           0.00
       0.13       1.14	         1.14	           1.14	          1.14	           0.00
       0.14       1.14	         1.14	           1.14	          1.14	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.14       1.15	         1.15	           1.15	          1.15	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.16	         1.16	           1.16	          1.16	           0.00
       0.15       1.17	         1.17	           1.16	          1.17	           0.00
       0.15       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.17	         1.17	           1.17	          1.17	           0.00
       0.16       1.18	         1.18	           1.18	          1.18	           0.00
       0.16       1.18	         1.18	           1.18	          1.18	           0.00
       0.16       1.18	         1.18	           1.18	          1.18	           0.00
       0.17       1.18	         1.18	           1.18	          1.18	           0.00
       0.17       1.18	         1.18	           1.18	          1.18	           0.00
       0.17       1.18	         1.18	           1.18	          1.18	           0.00
       0.17       1.18	         1.18	           1.18	          1.18	           0.00
       0.17       1.18	         1.18	           1.18	          1.18	           0.00
       0.17       1.19	         1.19	           1.18	          1.19	           0.00
       0.17       1.19	         1.19	           1.19	          1.19	           0.00
       0.17       1.19	         1.19	           1.19	          1.19	           0.00
       0.17       1.19	         1.19	           1.19	          1.19	           0.00
       0.17       1.19	         1.19	           1.19	          1.19	           0.00
       0.18       1.19	         1.19	           1.19	          1.19	           0.00
       0.18       1.19	         1.19	           1.19	          1.19	           0.00
       0.18       1.19	         1.19	           1.19	          1.19	           0.00
       0.18       1.19	         1.19	           1.19	          1.19	           0.00
       0.18       1.20	         1.20	           1.20	          1.20	           0.00
       0.18       1.20	         1.20	           1.20	          1.20	           0.00
       0.18       1.20	         1.20	           1.20	          1.20	           0.00
       0.18       1.20	         1.20	           1.20	          1.20	           0.00
       0.18       1.20	         1.20	           1.20	          1.20	           0.00
       0.18       1.20	         1.20	           1.20	          1.20	           0.00
       0.19       1.20	         1.20	           1.20	          1.20	           0.00
       0.19       1.20	         1.20	           1.20	          1.20	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.19       1.21	         1.21	           1.21	          1.21	           0.00
       0.20       1.22	         1.22	           1.21	          1.22	           0.00
       0.20       1.22	         1.22	           1.22	          1.22	           0.00
       0.20       1.22	         1.22	           1.22	          1.22	           0.00
       0.20       1.22	         1.22	           1.22	          1.22	           0.00
       0.20       1.22	         1.22	           1.22	          1.22	           0.00
       0.20       1.22	         1.22	           1.22	          1.22	           0.00
       0.20       1.22	         1.22	           1.22	          1.22	           0.00
       0.20       1.22	         1.22	           1.22	          1.22	           0.00
       0.20       1.23	         1.23	           1.22	          1.23	           0.00
       0.20       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.23	         1.23	           1.23	          1.23	           0.00
       0.21       1.24	         1.24	           1.24	          1.24	           0.00
       0.21       1.24	         1.24	           1.24	          1.24	           0.00
       0.21       1.24	         1.24	           1.24	          1.24	           0.00
       0.22       1.24	         1.24	           1.24	          1.24	           0.00
       0.22       1.24	         1.24	           1.24	          1.24	           0.00
       0.22       1.24	         1.24	           1.24	          1.24	           0.00
       0.22       1.24	         1.24	           1.24	          1.24	           0.00
       0.22       1.24	         1.24	           1.24	          1.24	           0.00
       0.22       1.25	         1.25	           1.25	          1.25	           0.00
       0.22       1.25	         1.25	           1.25	          1.25	           0.00
       0.22       1.25	         1.25	           1.25	          1.25	           0.00
       0.22       1.25	         1.25	           1.25	          1.25	           0.00
       0.22       1.25	         1.25	           1.25	          1.25	           0.00
       0.23       1.25	         1.25	           1.25	          1.25	           0.00
       0.23       1.25	         1.25	           1.25	          1.25	           0.00
       0.23       1.25	         1.25	           1.25	          1.25	           0.00
       0.23       1.26	         1.26	           1.26	          1.26	           0.00
       0.23       1.26	         1.26	           1.26	          1.26	           0.00
       0.23       1.26	         1.26	           1.26	          1.26	           0.00
       0.23       1.26	         1.26	           1.26	          1.26	           0.00
       0.23       1.26	         1.26	           1.26	          1.26	           0.00
       0.23       1.26	         1.26	           1.26	          1.26	           0.00
       0.23       1.26	         1.26	           1.26	          1.26	           0.00
       0.24       1.26	         1.26	           1.26	          1.26	           0.00
       0.24       1.27	         1.27	           1.27	          1.27	           0.00
       0.24       1.27	         1.27	           1.27	          1.27	           0.00
       0.24       1.27	         1.27	           1.27	          1.27	           0.00
       0.24       1.27	         1.27	           1.27	          1.27	           0.00
       0.24       1.27	         1.27	           1.27	          1.27	           0.00
       0.24       1.27	         1.27	           1.27	          1.27	           0.00
       0.24       1.27	         1.27	           1.27	          1.27	           0.00
       0.24       1.28	         1.28	           1.27	          1.28	           0.00
       0.24       1.28	         1.28	           1.28	          1.28	           0.00
       0.25       1.28	         1.28	           1.28	          1.28	           0.00
       0.25       1.28	         1.28	           1.28	          1.28	           0.00
       0.25       1.28	         1.28	           1.28	          1.28	           0.00
       0.25       1.28	         1.28	           1.28	          1.28	           0.00
       0.25       1.28	         1.28	           1.28	          1.28	           0.00
       0.25       1.28	         1.28	           1.28	          1.28	           0.00
       0.25       1.29	         1.29	           1.28	          1.29	           0.00
       0.25       1.29	         1.29	           1.29	          1.29	           0.00
       0.25       1.29	         1.29	           1.29	          1.29	           0.00
       0.25       1.29	         1.29	           1.29	          1.29	           0.00
       0.26       1.29	         1.29	           1.29	          1.29	           0.00
       0.26       1.29	         1.29	           1.29	          1.29	           0.00
       0.26       1.29	         1.29	           1.29	          1.29	           0.00
       0.26       1.29	         1.29	           1.29	          1.29	           0.00
       0.26       1.30	         1.30	           1.29	          1.30	           0.00
       0.26       1.30	         1.30	           1.30	          1.30	           0.00
       0.26       1.30	         1.30	           1.30	          1.30	           0.00
       0.26       1.30	         1.30	           1.30	          1.30	           0.00
       0.26       1.30	         1.30	           1.30	          1.30	           0.00
       0.26       1.30	         1.30	           1.30	          1.30	           0.00
       0.27       1.30	         1.30	           1.30	          1.30	           0.00
       0.27       1.30	         1.30	           1.30	          1.30	           0.00
       0.27       1.31	         1.31	           1.31	          1.31	           0.00
       0.27       1.31	         1.31	           1.31	          1.31	           0.00
       0.27       1.31	         1.31	           1.31	          1.31	           0.00
       0.27       1.31	         1.31	           1.31	          1.31	           0.00
       0.27       1.31	         1.31	           1.31	          1.31	           0.00
       0.27       1.31	         1.31	           1.31	          1.31	           0.00
       0.27       1.31	         1.31	           1.31	          1.31	           0.00
       0.27       1.32	         1.32	           1.31	          1.32	           0.00
       0.28       1.32	         1.32	           1.32	          1.32	           0.00
       0.28       1.32	         1.32	           1.32	          1.32	           0.00
       0.28       1.32	         1.32	           1.32	          1.32	           0.00
       0.28       1.32	         1.32	           1.32	          1.32	           0.00
       0.28       1.32	         1.32	           1.32	          1.32	           0.00
       0.28       1.32	         1.32	           1.32	          1.32	           0.00
       0.28       1.32	         1.32	           1.32	          1.32	           0.00
       0.28       1.33	         1.33	           1.33	          1.33	           0.00
